tracker_id,vehicle_type,status,compliance,reaction_time,date
1,car,stationary,1,1.8,2025-05-12 00:01:53
2,car,stationary,1,2.09,2025-05-12 00:01:58
4,car,stationary,1,1.84,2025-05-12 00:02:09
10,car,moving,0,,2025-05-12 00:02:15
6,car,stationary,1,1.68,2025-05-12 00:02:17
11,car,moving,0,,2025-05-27 14:58:02
12,car,moving,0,,2025-05-27 14:58:04
14,car,stationary,1,2.27,2025-05-27 14:58:07
20,car,moving,0,,2025-05-27 14:58:09
16,car,stationary,1,0.55,2025-05-27 14:58:10
18,car,stationary,1,0.82,2025-05-27 14:58:12
19,truck,stationary,1,0.57,2025-05-27 14:58:18
29,car,moving,0,,2025-05-27 14:58:22
42,car,moving,0,,2025-05-27 14:58:27
28,car,moving,0,,2025-05-27 14:58:28
46,car,stationary,1,0.55,2025-05-27 14:58:30
51,car,stationary,1,0.64,2025-05-27 14:58:32
52,bus,moving,0,,2025-05-27 14:58:33
56,car,moving,0,,2025-05-27 14:58:34
57,bus,stationary,1,0.57,2025-05-27 14:58:35
58,car,moving,0,,2025-05-27 14:58:35
32,car,stationary,1,0.59,2025-05-27 14:58:38
60,car,stationary,1,0.54,2025-05-27 14:58:40
65,car,stationary,1,0.56,2025-05-27 14:58:43
66,car,stationary,1,0.57,2025-05-27 14:58:44
67,car,moving,0,,2025-05-27 14:58:46
68,car,stationary,1,0.56,2025-05-27 14:58:48
62,bus,moving,0,,2025-05-27 14:58:50
69,car,moving,0,,2025-05-27 15:07:16
70,car,moving,0,,2025-05-27 15:07:18
72,car,stationary,1,2.41,2025-05-27 15:07:21
78,car,moving,0,,2025-05-27 15:07:24
74,car,stationary,1,0.74,2025-05-27 15:07:25
76,car,stationary,1,0.93,2025-05-27 15:07:27
77,truck,stationary,1,0.66,2025-05-27 15:07:33
87,car,moving,0,,2025-05-27 15:07:38
100,car,moving,0,,2025-05-27 15:07:44
86,car,moving,0,,2025-05-27 15:07:44
104,car,stationary,1,0.59,2025-05-27 15:07:46
109,car,stationary,1,0.67,2025-05-27 15:07:48
110,bus,moving,0,,2025-05-27 15:07:49
114,car,moving,0,,2025-05-27 15:07:51
115,bus,stationary,1,0.6,2025-05-27 15:07:52
116,car,moving,0,,2025-05-27 15:07:52
90,car,stationary,1,0.59,2025-05-27 15:07:55
118,car,stationary,1,0.59,2025-05-27 15:07:58
123,car,stationary,1,0.61,2025-05-27 15:08:01
124,car,stationary,1,0.59,2025-05-27 15:08:03
125,car,moving,0,,2025-05-27 15:08:04
126,car,stationary,1,0.6,2025-05-27 15:08:06
120,car,moving,0,,2025-05-27 15:08:08
142,car,moving,0,,2025-05-27 15:08:15
148,car,moving,0,,2025-05-27 15:08:16
150,car,stationary,1,0.59,2025-05-27 15:08:18
151,car,moving,0,,2025-05-27 15:08:20
